Sample ID,"1,3-15N2-Uric acid",1-Methylhistidine,1-Methylnicotinamide,1-Methylxanthine,1-Methylxanthosine,"13C10,15N5-Adenosine",13C3-Thiamine,13C5-Hypoxanthine,13C5-Xanthosine,15N4-Inosine,2-Aminobenzoic acid,"3-Hydroxy-N6,N6,N6-Trimethyllysine",3-Hydroxybutyric acid,3-Hydroxykynurenine,3-Hydroxytyrosol,3-Methoxytyrosine,3-Methylxanthine,3-Methylxanthosine,4-Hydroxyproline,4-Trimethylammoniobutanal,5''-Methylthioadenosine,5-Glutamylalanine,5-Hydroxyindoleacetic acid,5-Hydroxytryptophan,6-Aminouracil,6C13-Phenylalanine,6C13-Tyrosine,7-Methylguanine,7-Methylguanosine,7-Methylxanthine,7-Methylxanthosine,7-alpha-Hydroxy-3-oxo-4-cholestenoate,8-Hydroxy-deoxyguanosine,8-Hydroxyguanosine,"8-Oxo-deoxyguanosine-13C,15N2",9-Hexadecenoylcarnitine,AICA-riboside,Acetylcarnitine,Acetylcarnitine-d3,Adenine,Adenosine,Adenosine diphosphate ribose,Adenosylcobalamin,Alanine,Alanine-d4,Arabitol,Arginine,Arginine-d4C13,Ascorbate,Asparagine,Aspartic acid,Aspartic acid-d3,Asymmetric dimethylarginine,Betaine,Betaine-d11,Bilirubin,Butyrobetaine,Butyrylcarnitine,Butyrylcarnitine-d3,Cadaverine,Caffeine,Capsaicin,Carnitine,Carnitine-d9,Choline,Citrulline,Citrulline-d2,Cotinine,Creatine,Creatinine,Creatinine-d3,Curcumin,Cyanocobalamin,Cystathionine,Cysteine,Cysteinylglycine,Cystine,Cytosine,DNL201,Decanoylcarnitine,Demethoxycurcumin,Deoxyadenosine,Deoxyguanosine,Deoxyinosine,Dimethylethanolamine,Dimethylglycine,Dodecanoylcarnitine,Dopa,Dopamine,Dopamine 3-o-sulfate,Dopamine 4-o-sulfate,Epinephrine,Ergothioneine,Ethanolamine,Formylanthranilic acid,Gamma-Glutamylcysteine,Glucosamine,Glucose,Glutamic acid,Glutamic acid-d3,Glutamine,Glutathione,Glutathione disulfide,"Glutathione-(glycine-13C2,15N)",Glycerophosphocholine,Glycine,Guanine,Guanosine,Hexanoylcarnitine,Histamine,Histidine,Homocysteine,Homoserine,Hydroxybutyrylcarnitine,Hydroxyhexanoylcarnitine,Hydroxyisovaleroyl carnitine,Hydroxypropionylcarnitine,Hypoxanthine,Imidazoleacetic acid,Indole,Inosine,Isovalerylcarnitine,Isovalerylcarnitine-d9,Kynurenic acid,Kynurenine,LPC(18:1(d7)),Leucine,Leucine-d3,Linoleyl carnitine,Lysine,Mannitol,Mannose,Melatonin,Methionine,Methionine S-oxide,Methionine-d3,Methylcobalamin,Myristoylcarnitine,Myristoylcarnitine-d9,"N,N''-Bis(gamma-glutamyl)cystine",N-Acetylalanine,N-Acetylaspartic acid,N-Acetylcysteine,N-Acetylglutamic acid,N-Acetylneuraminic acid,N-Acetylputrescine,N-Acetylserine,N-Alpha-acetyllysine,N1-Acetylspermidine,N1-Acetylspermidine-d6,N1-Acetylspermine,N1-N12-Diacetylspermine,N1-N8-Diacetylspermidine,N1-N8-Diacetylspermidine-d6,N15C13-Glycine,"N6,N6,N6-Trimethyllysine",NAD,Niacinamide,Niacinamide-d4,Nicotinamide mononucleotide,Nicotinamide riboside,Nicotinic acid,Nitrotyrosine,Nonanoylcarnitine,Norepinephrine,Octanoylcarnitine,Octanoylcarnitine-d3,Ornithine,Ornithine-d2,Palmitoylcarnitine,Palmitoylcarnitine-d3,Paraxanthine,Phenylalanine,Piperanine,Piperine,Pipernonaline,Piperyline,Proline,Propionylcarnitine,Propionylcartinine-d3,Putrescine,Pyridoxamine,Pyroglutamic acid,S-Adenosylhomocysteine,S-Adenosylmethionine,Sarcosine,Serine,Serotonin,Spermidine,Spermine,Stearoylcarnitine,Sucrose,Taurine,Tetrahydrocurcumin,Theobromine,Theophylline,Thiamine,Threonine,Trigonelline,Trimethylamine-N-oxide,Trimethylamine-d9 N-oxide,Tryptophan,Tyrosine,Uracil,Ureidopropionic acid,Uric acid,Uridine,Valerobetaine,Valerobetaine-d9,Valine,Valine-d8,Xanthine,Xanthosine,alpha-Tocopherol,cADPRibose,gamma-Aminobutyric acid
HSA-000028154,N.D.,0.008,0.279,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.031,0.002,0.484,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.044,N.D.,0.103,N.D.,0.685,0.094,N.D.,N.D.,0.15,N.D.,0.665,0.207,N.D.,N.D.,1.48,N.D.,N.D.,8.117,1.404,N.D.,N.D.,0.131,0.051,N.D.,N.D.,N.D.,N.D.,0.102,N.D.,0.242,0.018,N.D.,N.D.,1.179,0.06,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0,N.D.,N.D.,N.D.,N.D.,0.024,N.D.,N.D.,0.01,N.D.,N.D.,0.004,0.012,N.D.,N.D.,0.024,0.06,0.014,N.D.,N.D.,N.D.,0.057,21.506,N.D.,16.654,12.702,N.D.,N.D.,188.483,0.218,0.008,N.D.,0.004,4.604,0.203,1.145,13.839,0.046,0.023,0.132,N.D.,0.13,0.055,N.D.,0.002,0.461,N.D.,0.003,0.002,N.D.,0.396,N.D.,0.004,0.026,N.D.,0.029,0.002,0.114,1.834,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,14.505,N.D.,N.D.,N.D.,0,0.003,N.D.,4.672,N.D.,N.D.,0.663,0.189,N.D.,N.D.,0.015,N.D.,0.048,N.D.,N.D.,0.012,0.001,N.D.,N.D.,N.D.,0.001,N.D.,0.035,N.D.,0.099,N.D.,N.D.,1.255,N.D.,N.D.,N.D.,N.D.,0.679,0.575,N.D.,N.D.,1.496,1.308,0.061,0.232,0.127,4.322,N.D.,N.D.,N.D.,0,0.013,1.722,N.D.,N.D.,N.D.,0.528,7.858,N.D.,0.016,N.D.,0.067,0.017,N.D.,0.015,0.141,0.003,0.078,N.D.,0.004,N.D.,0.004,0.007,N.D.,0.011,0.001
HSA-000028155,N.D.,0.005,0.29,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.028,0.002,0.395,N.D.,0.002,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,0.047,N.D.,0.115,N.D.,0.733,0.101,N.D.,N.D.,0.135,N.D.,0.644,0.193,N.D.,N.D.,1.256,N.D.,N.D.,6.32,1.153,N.D.,N.D.,0.115,0.053,N.D.,N.D.,N.D.,N.D.,0.087,N.D.,0.235,0.017,N.D.,N.D.,1.089,0.056,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0,N.D.,N.D.,N.D.,N.D.,0.012,N.D.,N.D.,0.014,N.D.,N.D.,0.005,0.011,N.D.,N.D.,0.024,0.066,0.033,N.D.,N.D.,N.D.,0.045,17.613,N.D.,15.458,13.661,N.D.,N.D.,148.98,0.226,0.004,N.D.,0.005,4.835,0.156,1.193,12.809,0.054,0.02,0.128,N.D.,0.082,0.049,N.D.,0.002,0.394,N.D.,0.002,0.002,N.D.,0.382,N.D.,0.004,0.023,N.D.,0.025,0.002,0.105,2.008,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,14.47,N.D.,N.D.,N.D.,0,0.003,N.D.,5.785,N.D.,N.D.,0.67,0.198,N.D.,N.D.,0.013,N.D.,0.05,N.D.,N.D.,0.013,0.001,N.D.,N.D.,N.D.,0.001,N.D.,0.022,N.D.,0.181,N.D.,N.D.,1.257,N.D.,N.D.,N.D.,N.D.,0.606,0.562,N.D.,N.D.,1.494,1.316,0.049,0.247,0.108,3.972,N.D.,N.D.,N.D.,0.001,0.261,1.63,N.D.,N.D.,N.D.,0.583,7.308,N.D.,0.016,N.D.,0.073,0.019,N.D.,0.013,0.094,0.002,0.076,N.D.,0.004,N.D.,0.004,0.006,N.D.,0.013,0.001
HSA-000028157,N.D.,0.003,0.218,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,0.001,0.188,N.D.,0.001,0.001,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,0.017,N.D.,0.045,N.D.,0.435,0.04,N.D.,N.D.,0.053,N.D.,0.6,0.088,N.D.,N.D.,0.624,N.D.,N.D.,4.497,1.167,N.D.,N.D.,0.049,0.022,N.D.,N.D.,N.D.,N.D.,0.044,N.D.,0.125,0.007,N.D.,N.D.,0.432,0.031,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0,N.D.,N.D.,N.D.,N.D.,0.03,N.D.,N.D.,0.009,N.D.,N.D.,0.004,0.015,N.D.,N.D.,0.01,0.017,0.008,N.D.,N.D.,N.D.,0.042,6.077,N.D.,7.746,4.393,N.D.,N.D.,94.489,0.094,0.004,N.D.,0.001,0.224,0.088,1.476,6.221,0.012,0.007,0.039,N.D.,0.065,0.031,N.D.,0,0.163,N.D.,0.003,0.001,N.D.,0.154,N.D.,0.003,0.009,N.D.,0.019,0.001,0.041,1.483,N.D.,N.D.,0,N.D.,N.D.,N.D.,6.031,N.D.,N.D.,N.D.,0,0.001,N.D.,2.06,N.D.,N.D.,0.529,0.177,N.D.,N.D.,0.005,N.D.,0.019,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0,N.D.,0.016,N.D.,0.056,N.D.,N.D.,0.519,N.D.,N.D.,N.D.,N.D.,0.244,0.25,N.D.,N.D.,1.049,0.486,0.023,0.098,0.045,2.168,N.D.,N.D.,N.D.,0,0.05,1.379,N.D.,N.D.,N.D.,0.299,2.944,N.D.,0.013,N.D.,0.033,0.006,N.D.,0.004,0.082,0.003,0.025,N.D.,0.001,N.D.,0.003,0.009,N.D.,0.004,0
HSA-000028158,N.D.,0.004,0.267,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,0.001,0.279,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.023,N.D.,0.06,N.D.,0.54,0.082,N.D.,N.D.,0.066,N.D.,0.626,0.142,N.D.,N.D.,0.778,N.D.,N.D.,5.704,1.259,N.D.,N.D.,0.054,0.024,N.D.,N.D.,N.D.,N.D.,0.044,N.D.,0.131,0.009,N.D.,N.D.,0.562,0.039,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0.001,N.D.,N.D.,N.D.,N.D.,0.025,N.D.,N.D.,0.014,N.D.,N.D.,0.005,0.016,N.D.,N.D.,0.013,0.02,0.031,N.D.,N.D.,N.D.,0.052,5.147,N.D.,9.17,5.782,N.D.,N.D.,98.421,0.12,0.004,N.D.,0.002,0.396,0.118,1.521,7.876,0.026,0.007,0.045,N.D.,0.055,0.032,N.D.,0.001,0.155,N.D.,0.006,0.001,N.D.,0.198,N.D.,0.004,0.015,N.D.,0.026,0.001,0.053,1.731,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,7.518,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,4.623,N.D.,N.D.,1.152,0.244,N.D.,N.D.,0.008,N.D.,0.027,N.D.,N.D.,0.011,0,N.D.,N.D.,N.D.,0,N.D.,0.019,N.D.,0.134,N.D.,N.D.,0.678,N.D.,N.D.,N.D.,N.D.,0.33,0.261,N.D.,N.D.,1.232,0.8,0.026,0.127,0.055,2.898,N.D.,N.D.,N.D.,0.001,0.397,1.361,N.D.,N.D.,N.D.,0.243,3.465,N.D.,0.014,N.D.,0.041,0.008,N.D.,0.001,0.164,0.003,0.028,N.D.,0.002,N.D.,0.003,0.009,N.D.,0.006,0
HSA-000028160,N.D.,0.002,0.069,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,0.001,0.14,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.009,N.D.,0.011,N.D.,0.02,N.D.,0.511,0.016,N.D.,N.D.,0.041,N.D.,0.572,0.086,N.D.,N.D.,0.514,N.D.,N.D.,3.588,0.633,N.D.,N.D.,0.021,0.01,N.D.,N.D.,N.D.,N.D.,0.018,N.D.,0.069,0.006,N.D.,N.D.,0.314,0.029,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0.001,N.D.,N.D.,N.D.,N.D.,0.034,N.D.,N.D.,0.009,N.D.,N.D.,0.002,0.02,N.D.,N.D.,0.007,0.008,0.004,N.D.,N.D.,N.D.,0.039,3.047,N.D.,6.028,1.894,N.D.,N.D.,32.139,0.072,0.004,N.D.,0.001,N.D.,0.075,0.991,4.442,0.008,0.004,0.016,N.D.,0.029,0.06,N.D.,0,0.06,N.D.,0.004,0.001,N.D.,0.117,N.D.,0.003,0.008,N.D.,0.019,0.001,0.031,1.244,N.D.,N.D.,0,N.D.,N.D.,N.D.,2.461,N.D.,N.D.,N.D.,0,0,N.D.,0.377,N.D.,N.D.,0.065,0.059,N.D.,N.D.,0.004,N.D.,0.018,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0,N.D.,0.012,N.D.,0.026,N.D.,N.D.,0.397,N.D.,N.D.,N.D.,N.D.,0.225,0.102,N.D.,N.D.,0.801,0.446,0.005,0.049,0.032,1.836,N.D.,N.D.,N.D.,0,0.048,2.082,N.D.,N.D.,N.D.,0.194,1.917,N.D.,0.013,N.D.,0.028,0.004,N.D.,0,0.099,0.002,0.01,N.D.,0.001,N.D.,0.003,0.011,N.D.,0.002,9.03E-05
HSA-000028161,N.D.,0.002,0.14,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,0.001,0.208,N.D.,0,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,N.D.,0.017,N.D.,0.027,N.D.,0.203,0.021,N.D.,N.D.,0.043,N.D.,0.583,0.108,N.D.,N.D.,0.545,N.D.,N.D.,3.521,0.611,N.D.,N.D.,0.02,0.012,N.D.,N.D.,N.D.,N.D.,0.018,N.D.,0.081,0.005,N.D.,N.D.,0.343,0.041,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.001,N.D.,N.D.,N.D.,N.D.,0.033,N.D.,N.D.,0.013,N.D.,N.D.,0.002,0.026,N.D.,N.D.,0.008,0.01,0.007,N.D.,N.D.,N.D.,0.044,2.882,N.D.,6.298,2.454,N.D.,N.D.,41.743,0.065,0.005,N.D.,0.001,N.D.,0.073,1.628,4.961,0.01,0.004,0.018,N.D.,0.033,0.033,N.D.,0.001,0.073,N.D.,0.013,0.001,N.D.,0.126,N.D.,0.003,0.01,N.D.,0.02,0.001,0.032,1.326,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,3.64,N.D.,N.D.,N.D.,N.D.,0.001,N.D.,1.357,N.D.,N.D.,0.209,0.112,N.D.,N.D.,0.005,N.D.,0.018,N.D.,N.D.,0.001,0,N.D.,N.D.,N.D.,0,N.D.,0.014,N.D.,0.104,N.D.,N.D.,0.471,N.D.,N.D.,N.D.,N.D.,0.239,0.122,N.D.,N.D.,0.441,0.461,0.013,0.071,0.034,1.881,N.D.,N.D.,N.D.,0.001,0.472,1.316,N.D.,N.D.,N.D.,0.215,2.145,N.D.,0.012,N.D.,0.025,0.005,N.D.,0.001,0.072,0.001,0.013,N.D.,0.001,N.D.,0.004,0.015,N.D.,0.002,0
HSA-000028163,N.D.,0.004,0.074,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.016,0.001,0.303,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,N.D.,0.022,N.D.,0.038,N.D.,0.36,0.086,N.D.,N.D.,0.1,N.D.,0.597,0.115,N.D.,N.D.,1.374,N.D.,N.D.,6.88,1.036,N.D.,N.D.,0.057,0.018,N.D.,N.D.,N.D.,N.D.,0.085,N.D.,0.168,0.009,N.D.,N.D.,0.925,0.056,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.001,N.D.,N.D.,N.D.,N.D.,0.034,N.D.,N.D.,0.019,N.D.,N.D.,N.D.,0.02,N.D.,N.D.,0.015,0.041,0.004,N.D.,N.D.,N.D.,0.046,19.897,N.D.,13.466,9.882,N.D.,N.D.,147.062,0.187,0.011,N.D.,0.002,N.D.,0.136,0.781,10.754,0.016,0.009,0.031,N.D.,0.065,0.066,N.D.,0.002,0.058,N.D.,0.001,0.007,N.D.,0.271,N.D.,0.002,0.014,N.D.,0.019,0.001,0.07,1.401,N.D.,N.D.,0,N.D.,N.D.,N.D.,6.467,N.D.,N.D.,N.D.,0,0.003,N.D.,0.99,N.D.,N.D.,0.361,0.067,N.D.,N.D.,0.01,N.D.,0.027,N.D.,N.D.,0.008,0,N.D.,N.D.,N.D.,0,N.D.,0.018,N.D.,0.016,N.D.,N.D.,0.806,N.D.,N.D.,N.D.,N.D.,0.425,0.224,N.D.,N.D.,1.186,0.874,0.035,0.126,0.086,2.956,N.D.,N.D.,N.D.,7.46E-05,0.033,2.54,N.D.,N.D.,N.D.,0.392,5.47,N.D.,0.015,N.D.,0.043,0.01,N.D.,0.009,0.111,0.001,0.028,N.D.,0.004,N.D.,0.004,0.011,N.D.,0.008,0.001
HSA-000028164,N.D.,0.007,0.084,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,0.001,0.367,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,N.D.,0.028,N.D.,0.048,N.D.,0.343,0.07,N.D.,N.D.,0.097,N.D.,0.377,0.134,N.D.,N.D.,1.378,N.D.,N.D.,7.789,1.071,N.D.,N.D.,0.05,0.022,N.D.,N.D.,N.D.,N.D.,0.088,N.D.,0.161,0.028,N.D.,N.D.,1.189,0.071,N.D.,N.D.,N.D.,N.D.,N.D.,0.019,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,N.D.,N.D.,0.02,N.D.,N.D.,N.D.,0.012,N.D.,N.D.,0.018,0.046,0.013,N.D.,N.D.,N.D.,0.042,16.27,N.D.,15.554,15.247,N.D.,N.D.,141.874,0.209,0.004,N.D.,0.002,N.D.,N.D.,0.522,13.283,0.02,0.01,0.031,N.D.,0.036,0.095,N.D.,0.001,0.061,N.D.,0,0.006,N.D.,0.301,N.D.,0.002,N.D.,N.D.,0.02,0.002,0.075,2.074,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,7.31,N.D.,N.D.,N.D.,0,0.003,N.D.,1.132,N.D.,N.D.,0.377,0.094,N.D.,N.D.,0.014,N.D.,0.026,N.D.,N.D.,0.009,0,N.D.,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,0.056,N.D.,N.D.,0.906,N.D.,N.D.,N.D.,N.D.,0.465,0.259,N.D.,N.D.,1.48,0.986,0.089,N.D.,0.081,3.999,N.D.,N.D.,N.D.,0.001,0.46,2.868,N.D.,N.D.,N.D.,0.349,6.322,N.D.,0.016,N.D.,0.048,0.016,N.D.,0.008,0.067,0.002,0.034,N.D.,0.007,N.D.,0.005,0.008,N.D.,N.D.,0.001
HSA-000028166,N.D.,0.006,0.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.026,0.002,0.531,N.D.,0.001,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.033,N.D.,0.081,N.D.,0.692,0.11,N.D.,N.D.,0.137,N.D.,0.556,0.166,N.D.,N.D.,1.383,N.D.,N.D.,7.02,1.33,N.D.,N.D.,0.135,0.054,N.D.,N.D.,N.D.,N.D.,0.171,N.D.,0.27,0.017,N.D.,N.D.,1.002,0.054,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0,N.D.,N.D.,N.D.,N.D.,0.025,N.D.,N.D.,0.01,N.D.,N.D.,0.004,0.009,N.D.,N.D.,0.024,0.089,0.019,N.D.,N.D.,N.D.,0.032,25.488,N.D.,15.708,19.291,N.D.,N.D.,299.602,0.25,0.005,N.D.,0.004,4.939,0.177,0.728,13.766,0.041,0.027,0.16,N.D.,0.148,0.074,N.D.,0.002,0.492,N.D.,0,0.002,N.D.,0.387,N.D.,0.003,0.024,N.D.,0.019,0.002,0.113,2.179,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,16.016,N.D.,N.D.,N.D.,0,0.003,N.D.,5.644,N.D.,N.D.,0.492,0.204,N.D.,N.D.,0.013,N.D.,0.046,N.D.,N.D.,0.009,0,N.D.,N.D.,N.D.,0.001,N.D.,0.032,N.D.,0.069,N.D.,N.D.,1.255,N.D.,N.D.,N.D.,N.D.,0.664,0.666,N.D.,N.D.,1.362,1.163,0.081,0.269,0.113,3.821,N.D.,N.D.,N.D.,0,0.014,2.605,N.D.,N.D.,N.D.,0.743,7.846,N.D.,0.017,N.D.,0.068,0.017,N.D.,0.014,0.076,0.005,0.079,N.D.,0.006,N.D.,0.003,0.005,N.D.,0.018,0.001
HSA-000028167,N.D.,0.006,0.421,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.006,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.029,0.002,0.54,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.033,N.D.,0.093,N.D.,0.754,0.137,N.D.,N.D.,0.139,N.D.,0.508,0.165,N.D.,N.D.,1.495,N.D.,N.D.,7.14,1.265,N.D.,N.D.,0.112,0.059,N.D.,N.D.,N.D.,N.D.,0.163,N.D.,0.254,0.02,N.D.,N.D.,1.075,0.052,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0,N.D.,N.D.,N.D.,N.D.,0.016,N.D.,N.D.,0.011,N.D.,N.D.,0.005,0.008,N.D.,N.D.,0.024,0.093,0.034,N.D.,N.D.,N.D.,0.025,21.241,N.D.,15.058,19.509,N.D.,N.D.,330.387,0.242,0.004,N.D.,0.004,5.087,0.184,0.513,14.887,0.044,0.024,0.153,N.D.,0.113,0.1,N.D.,0.002,0.469,N.D.,0,0.003,N.D.,0.404,N.D.,0.003,0.023,N.D.,0.014,0.003,0.111,2.458,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,17.537,N.D.,N.D.,N.D.,0,0.003,N.D.,7.645,N.D.,N.D.,1.435,0.241,N.D.,N.D.,0.013,N.D.,0.046,N.D.,N.D.,0.011,0.001,N.D.,N.D.,N.D.,0,N.D.,0.026,N.D.,0.105,N.D.,N.D.,1.28,N.D.,N.D.,N.D.,N.D.,0.594,0.679,N.D.,N.D.,1.482,0.873,0.072,0.27,0.11,4.046,N.D.,N.D.,N.D.,0.001,0.21,3.688,N.D.,N.D.,N.D.,0.571,8.689,N.D.,0.017,N.D.,0.077,0.018,N.D.,0.009,0.063,0.006,0.081,N.D.,0.008,N.D.,0.004,0.005,N.D.,0.017,0.001
HSA-000028169,N.D.,0.003,0.282,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,0.001,0.287,N.D.,0,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.006,N.D.,0.017,N.D.,0.041,N.D.,0.547,0.052,N.D.,N.D.,0.061,N.D.,0.532,0.099,N.D.,N.D.,0.64,N.D.,N.D.,5.111,0.942,N.D.,N.D.,0.05,0.024,N.D.,N.D.,N.D.,N.D.,0.049,N.D.,0.135,0.007,N.D.,N.D.,0.481,0.03,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0,N.D.,N.D.,N.D.,N.D.,0.031,N.D.,N.D.,0.008,N.D.,N.D.,0.005,0.012,N.D.,N.D.,0.01,0.019,0.01,N.D.,N.D.,N.D.,0.035,6.446,N.D.,7.603,4.812,N.D.,N.D.,138.055,0.103,0.005,N.D.,0.002,N.D.,0.089,0.512,6.309,0.02,0.009,0.046,N.D.,0.08,0.097,N.D.,0.001,0.169,N.D.,0,0.002,N.D.,0.16,N.D.,0.004,0.01,N.D.,0.017,0.001,0.044,1.433,N.D.,N.D.,0,N.D.,N.D.,N.D.,6.423,N.D.,N.D.,N.D.,0,0.001,N.D.,2.689,N.D.,N.D.,0.403,0.228,N.D.,N.D.,0.005,N.D.,0.022,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0.001,N.D.,0.013,N.D.,0.06,N.D.,N.D.,0.566,N.D.,N.D.,N.D.,N.D.,0.283,0.323,N.D.,N.D.,1.024,0.58,0.014,0.114,0.045,2.258,N.D.,N.D.,N.D.,0,0.041,3.842,N.D.,N.D.,N.D.,0.304,3.171,N.D.,0.013,N.D.,0.041,0.006,N.D.,0.003,0.087,0.004,0.024,N.D.,0.003,N.D.,0.003,0.007,N.D.,0.004,0
HSA-000028170,N.D.,0.004,0.31,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,0.001,0.304,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.026,N.D.,0.05,N.D.,0.702,0.092,N.D.,N.D.,0.061,N.D.,0.512,0.119,N.D.,N.D.,0.68,N.D.,N.D.,4.653,0.976,N.D.,N.D.,0.052,0.025,N.D.,N.D.,N.D.,N.D.,0.048,N.D.,0.135,0.009,N.D.,N.D.,0.552,0.03,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.001,N.D.,N.D.,N.D.,N.D.,0.032,N.D.,N.D.,0.009,N.D.,N.D.,0.003,0.01,N.D.,N.D.,0.011,0.02,0.031,N.D.,N.D.,N.D.,0.033,5.688,N.D.,8.071,5.836,N.D.,N.D.,129.308,0.119,0.005,N.D.,0.002,N.D.,0.099,0.469,6.325,0.024,0.008,0.049,N.D.,0.097,0.094,N.D.,0.001,0.158,N.D.,0,0.002,N.D.,0.176,N.D.,0.005,0.015,N.D.,0.014,0.001,0.047,1.373,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,8.079,N.D.,N.D.,N.D.,0,0.001,N.D.,4.749,N.D.,N.D.,0.784,0.231,N.D.,N.D.,0.007,N.D.,0.024,N.D.,N.D.,0.008,0,N.D.,N.D.,N.D.,0.001,N.D.,0.018,N.D.,0.127,N.D.,N.D.,0.593,N.D.,N.D.,N.D.,N.D.,0.31,0.334,N.D.,N.D.,1.102,0.635,0.034,0.117,0.055,2.249,N.D.,N.D.,N.D.,0.001,0.316,4.139,N.D.,N.D.,N.D.,0.29,2.973,N.D.,0.013,N.D.,0.044,0.007,N.D.,0.003,0.059,0.004,0.026,N.D.,0.004,N.D.,0.003,0.006,N.D.,0.006,0
