Sample ID,Subject ID,Factors,Additional sample data
PN00538,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '104', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1967', 'Age (now)': '47', 'Age (BOD-OD)': '41', 'Race': 'White', 'Stage OB': '2', 'BMI': '29.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02097,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '209', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1968', 'Age (now)': '46', 'Age (BOD-OD)': '42', 'Race': 'unknown', 'Stage OB': '3a', 'BMI': '28.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00888,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '139', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1966', 'Age (now)': '48', 'Age (BOD-OD)': '43', 'Race': 'Black', 'Stage OB': '2b', 'BMI': '33.7', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00614-1,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '112', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '43', 'Race': 'White', 'Stage OB': '3', 'BMI': '41.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00038,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '26', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1962', 'Age (now)': '52', 'Age (BOD-OD)': '44', 'Race': 'White', 'Stage OB': '2', 'BMI': '35.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00743,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '123', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '44', 'Race': 'White', 'Stage OB': '2', 'BMI': '29.2', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00937,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '149', 'ER': '1', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '44', 'Race': 'White', 'Stage OB': '2', 'BMI': '30.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00036,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '23', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1962', 'Age (now)': '52', 'Age (BOD-OD)': '44', 'Race': 'Asian', 'Stage OB': '3', 'BMI': '23.2', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00751,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '127', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '44', 'Race': 'Other', 'Stage OB': '3', 'BMI': '24.2', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01667,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '184', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '44', 'Race': 'White', 'Stage OB': '3', 'BMI': '31.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02200,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '225', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1966', 'Age (now)': '48', 'Age (BOD-OD)': '44', 'Race': 'White', 'Stage OB': '3', 'BMI': '37.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02546,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '9', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1964', 'Age (now)': '50', 'Age (BOD-OD)': '45', 'Race': 'White', 'Stage OB': '1', 'BMI': '36.5', 'Year of Sample Collection': '2009', 'Prog/Relapse by 9/7/11': 'N'}"
PN00023,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '3', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1961', 'Age (now)': '53', 'Age (BOD-OD)': '45', 'Race': 'White', 'Stage OB': '2', 'BMI': '27.3', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01001,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '152', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1964', 'Age (now)': '50', 'Age (BOD-OD)': '45', 'Race': 'White', 'Stage OB': '3c', 'BMI': '31.6', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00614-2,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '113', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '1965', 'Age (now)': '49', 'Age (BOD-OD)': '45', 'Race': 'White', 'Stage OB': '3', 'BMI': '41.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03929,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '10', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03958,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '90', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03979,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '145', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03980,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '1', 'Clinical_Parameters': '148', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04004,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '217', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04005,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '220', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '40', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03927,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '4', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03937,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '33', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03939,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '39', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03953,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '76', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03959,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '92', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03961,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '96', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03967,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '114', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03973,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '131', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03978,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '142', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04002,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '1', 'Clinical_Parameters': '211', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '39', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03932,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '19', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03942,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '1', 'Clinical_Parameters': '47', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03944,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '53', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03945,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '56', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03969,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '119', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03974,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '134', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04003,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '214', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '38', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03931,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '16', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03960,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '1', 'Clinical_Parameters': '94', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03962,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '99', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04000,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '206', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04001,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '208', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04006,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '223', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN04007,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '3', 'Clinical_Parameters': '226', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '37', 'Race': 'B', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03957,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '88', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '36', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03963,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '102', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '36', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
